horsepower,displacement,num_cylinders,clean_title
172.0,1.6,4.0,False
252.0,3.9,8.0,False
320.0,5.3,8.0,False
420.0,5.0,8.0,False
208.0,2.0,4.0,False
252.0,2.0,4.0,False
,,,False
355.0,5.3,8.0,False
,,,False
425.0,3.0,6.0,False
,,,False
,,,False
420.0,6.2,8.0,False
,,,False
523.0,4.4,8.0,False
503.0,4.0,8.0,False
420.0,6.2,8.0,False
395.0,3.0,6.0,False
310.0,4.6,8.0,False
469.0,4.0,8.0,False
,,,False
429.0,5.0,8.0,False
,,,False
,,,False
316.0,2.0,4.0,False
381.0,5.7,8.0,False
450.0,6.7,8.0,False
420.0,5.0,8.0,False
,,,False
211.0,2.0,4.0,False
220.0,2.0,4.0,False
255.0,2.0,4.0,False
,,,False
,,,False
,,,False
240.0,2.0,4.0,False
248.0,2.0,4.0,False
563.0,5.5,8.0,False
241.0,2.0,4.0,False
,,,False
230.0,3.0,6.0,False
450.0,6.7,8.0,False
430.0,6.2,8.0,False
,,,False
,,,False
,,,False
300.0,5.4,8.0,False
425.0,3.0,6.0,False
310.0,6.8,10.0,False
280.0,2.0,4.0,False
,,,False
,,,False
,,,False
,,,False
560.0,4.4,8.0,False
,,,False
241.0,2.0,4.0,False
252.0,3.9,8.0,False
300.0,4.4,8.0,False
302.0,5.0,8.0,False
,,,False
,,,False
490.0,6.2,8.0,False
300.0,5.3,8.0,False
560.0,4.4,8.0,False
490.0,6.2,8.0,False
200.0,2.0,4.0,False
416.0,4.0,8.0,False
179.0,2.5,4.0,False
,,,False
,,,False
,,,False
,,,False
385.0,6.2,8.0,False
160.0,2.4,4.0,False
385.0,3.8,6.0,False
,,,False
385.0,5.0,8.0,False
,,,False
425.0,3.0,6.0,False
560.0,4.0,8.0,False
160.0,2.4,4.0,False
248.0,2.0,4.0,False
,,,False
,,,False
310.0,2.3,4.0,False
,,,False
350.0,6.7,6.0,False
190.0,4.0,6.0,False
350.0,2.3,4.0,False
181.0,1.6,4.0,False
,,,False
300.0,4.6,8.0,False
,,,False
248.0,2.0,4.0,False
,,,False
345.0,5.7,8.0,False
,,,False
,,,False
355.0,5.3,8.0,False
,,,False
536.0,5.5,8.0,False
320.0,5.3,8.0,False
503.0,4.0,8.0,False
333.0,3.2,6.0,False
402.0,4.7,8.0,False
450.0,4.0,8.0,False
382.0,3.0,6.0,False
180.0,1.8,4.0,False
420.0,6.2,8.0,False
617.0,4.4,8.0,False
,,,False
355.0,5.3,8.0,False
310.0,6.8,10.0,False
240.0,2.0,4.0,False
,,,False
389.0,3.0,6.0,False
208.0,2.0,4.0,False
429.0,4.7,8.0,False
385.0,6.2,8.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
340.0,5.7,8.0,False
235.0,3.2,6.0,False
,,,False
,,,False
,,,False
169.0,2.5,4.0,False
,,,False
,,,False
,,,False
173.0,2.4,4.0,False
385.0,6.2,8.0,False
248.0,2.0,4.0,False
710.0,4.0,8.0,False
211.0,2.0,4.0,False
,,,False
400.0,3.8,6.0,False
270.0,2.3,4.0,False
,,,False
,,,False
350.0,3.4,6.0,False
,,,False
366.0,6.0,8.0,False
,,,False
,,,False
260.0,2.0,4.0,False
355.0,5.3,8.0,False
335.0,3.0,6.0,False
260.0,2.0,4.0,False
335.0,3.0,6.0,False
381.0,5.7,8.0,False
,,,False
,,,False
420.0,6.2,8.0,False
280.0,2.0,4.0,False
,,,False
,,,False
,,,False
,,,False
440.0,4.8,8.0,False
,,,False
381.0,5.7,8.0,False
355.0,5.3,8.0,False
320.0,5.3,8.0,False
211.0,2.0,4.0,False
301.0,4.6,8.0,False
,,,False
,,,False
,,,False
616.0,6.0,12.0,False
,,,False
317.0,5.6,8.0,False
435.0,5.0,8.0,False
,,,False
,,,False
190.0,4.0,6.0,False
,,,False
,,,False
471.0,5.0,8.0,False
310.0,5.4,8.0,False
443.0,3.0,6.0,False
345.0,5.7,8.0,False
,,,False
,,,False
,,,False
550.0,4.8,8.0,False
,,,False
201.0,2.5,6.0,False
,,,False
381.0,5.7,8.0,False
,,,False
255.0,2.0,4.0,False
,,,False
582.0,6.0,12.0,False
240.0,2.0,4.0,False
,,,False
400.0,3.8,6.0,False
280.0,2.0,4.0,False
355.0,5.3,8.0,False
,,,False
310.0,2.3,4.0,False
,,,False
362.0,3.0,6.0,False
248.0,2.0,4.0,False
355.0,5.3,8.0,False
,,,False
,,,False
389.0,3.0,6.0,False
300.0,4.2,8.0,False
490.0,6.2,8.0,False
184.0,2.5,4.0,False
,,,False
,,,False
,,,False
,,,False
120.0,2.5,4.0,False
302.0,4.6,8.0,False
420.0,6.2,8.0,False
275.0,4.8,8.0,False
503.0,4.0,8.0,False
,,,False
510.0,5.0,8.0,False
,,,False
414.0,4.0,8.0,False
,,,False
,,,False
,,,False
375.0,5.6,8.0,False
,,,False
241.0,2.0,4.0,False
300.0,3.0,6.0,False
,,,False
268.0,2.0,4.0,False
,,,False
,,,False
520.0,4.8,8.0,False
381.0,5.7,8.0,False
,,,False
,,,False
,,,False
301.0,4.6,8.0,False
455.0,6.2,8.0,False
292.0,2.0,4.0,False
,,,False
403.0,6.2,8.0,False
710.0,4.0,8.0,False
454.0,4.7,8.0,False
355.0,5.3,8.0,False
,,,False
,,,False
,,,False
425.0,3.0,6.0,False
425.0,3.0,6.0,False
375.0,5.0,8.0,False
,,,False
496.0,4.0,8.0,False
260.0,2.0,4.0,False
420.0,6.2,8.0,False
166.0,2.4,4.0,False
190.0,4.0,6.0,False
,,,False
430.0,4.7,8.0,False
,,,False
200.0,2.5,4.0,False
,,,False
,,,False
,,,False
,,,False
640.0,6.2,8.0,False
,,,False
240.0,2.0,4.0,False
,,,False
,,,False
300.0,2.5,4.0,False
,,,False
147.0,2.4,4.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
263.0,4.7,8.0,False
,,,False
,,,False
,,,False
550.0,5.2,10.0,False
170.0,2.5,5.0,False
577.0,5.5,8.0,False
,,,False
449.0,4.7,8.0,False
268.0,2.0,4.0,False
296.0,2.0,4.0,False
,,,False
467.0,5.0,8.0,False
230.0,3.0,6.0,False
169.0,2.5,4.0,False
,,,False
,,,False
382.0,5.5,8.0,False
,,,False
455.0,6.2,8.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
603.0,4.0,8.0,False
,,,False
,,,False
490.0,6.2,8.0,False
,,,False
,,,False
386.0,4.6,8.0,False
,,,False
301.0,4.6,8.0,False
292.0,4.6,8.0,False
,,,False
375.0,5.0,8.0,False
,,,False
435.0,5.0,8.0,False
240.0,2.0,4.0,False
603.0,4.0,8.0,False
240.0,2.0,4.0,False
,,,False
200.0,2.0,4.0,False
,,,False
,,,False
,,,False
,,,False
412.0,5.0,8.0,False
150.0,2.4,4.0,False
453.0,3.0,6.0,False
140.0,1.8,4.0,False
402.0,4.7,8.0,False
,,,False
480.0,3.6,6.0,False
,,,False
707.0,6.2,8.0,False
242.0,3.7,5.0,False
240.0,2.0,4.0,False
,,,False
,,,False
395.0,3.0,6.0,False
449.0,4.7,8.0,False
445.0,4.4,8.0,False
,,,False
350.0,6.7,6.0,False
563.0,5.5,8.0,False
,,,False
,,,False
,,,False
450.0,6.7,8.0,False
,,,False
,,,False
410.0,6.4,8.0,False
,,,False
,,,False
,,,False
500.0,8.3,10.0,False
,,,False
518.0,5.0,8.0,False
420.0,6.2,8.0,False
,,,False
255.0,5.4,8.0,False
200.0,2.0,4.0,False
147.0,2.4,4.0,False
,,,False
429.0,4.6,8.0,False
,,,False
,,,False
,,,False
536.0,5.5,8.0,False
,,,False
560.0,4.4,8.0,False
240.0,2.0,4.0,False
,,,False
,,,False
416.0,4.0,8.0,False
,,,False
140.0,1.8,4.0,False
,,,False
435.0,5.0,8.0,False
429.0,5.0,8.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
523.0,4.4,8.0,False
172.0,1.6,4.0,False
425.0,3.0,6.0,False
503.0,3.0,6.0,False
295.0,5.3,8.0,False
,,,False
170.0,2.5,5.0,False
400.0,5.6,8.0,False
211.0,2.0,4.0,False
310.0,5.4,8.0,False
142.0,1.8,4.0,False
320.0,3.0,6.0,False
199.0,2.4,4.0,False
230.0,3.0,6.0,False
,,,False
450.0,6.7,8.0,False
201.0,2.4,4.0,False
350.0,3.4,6.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
395.0,5.7,8.0,False
603.0,4.0,8.0,False
450.0,6.7,8.0,False
240.0,2.0,4.0,False
263.0,4.7,8.0,False
,,,False
,,,False
445.0,4.4,8.0,False
,,,False
355.0,5.3,8.0,False
,,,False
,,,False
247.0,2.0,4.0,False
,,,False
,,,False
,,,False
455.0,6.2,8.0,False
,,,False
282.0,4.7,8.0,False
230.0,4.7,8.0,False
,,,False
320.0,3.0,6.0,False
182.0,2.4,4.0,False
305.0,2.5,4.0,False
,,,False
355.0,5.3,8.0,False
,,,False
,,,False
605.0,4.0,8.0,False
,,,False
268.0,2.0,4.0,False
445.0,4.4,8.0,False
,,,False
282.0,4.7,8.0,False
455.0,6.2,8.0,False
247.0,2.0,4.0,False
220.0,4.6,8.0,False
,,,False
355.0,5.3,8.0,False
,,,False
605.0,4.0,8.0,False
355.0,5.3,8.0,False
161.0,2.1,4.0,False
,,,False
440.0,6.7,8.0,False
420.0,6.2,8.0,False
,,,False
150.0,1.4,4.0,False
450.0,6.7,8.0,False
,,,False
475.0,3.8,6.0,False
395.0,5.7,8.0,False
,,,False
,,,False
,,,False
248.0,2.0,4.0,False
,,,False
,,,False
,,,False
301.0,4.6,8.0,False
,,,False
,,,False
,,,False
,,,False
152.0,2.0,4.0,False
455.0,6.2,8.0,False
440.0,4.8,8.0,False
443.0,3.0,6.0,False
,,,False
,,,False
301.0,4.6,8.0,False
333.0,3.2,6.0,False
,,,False
228.0,2.0,4.0,False
,,,False
154.0,2.7,5.0,False
440.0,6.7,8.0,False
383.0,5.7,8.0,False
503.0,3.0,6.0,False
526.0,5.2,8.0,False
225.0,3.0,6.0,False
383.0,5.7,8.0,False
,,,False
,,,False
,,,False
475.0,6.7,8.0,False
,,,False
760.0,5.2,8.0,False
,,,False
420.0,3.0,6.0,False
188.0,2.0,4.0,False
300.0,5.3,8.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
335.0,3.0,6.0,False
320.0,3.0,6.0,False
301.0,4.6,8.0,False
630.0,4.0,8.0,False
305.0,2.5,4.0,False
220.0,2.0,4.0,False
,,,False
,,,False
300.0,3.0,6.0,False
420.0,6.2,8.0,False
,,,False
335.0,4.7,8.0,False
200.0,2.4,4.0,False
212.0,4.5,6.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
717.0,6.2,8.0,False
510.0,5.0,8.0,False
350.0,6.4,8.0,False
521.0,4.0,8.0,False
,,,False
382.0,3.0,6.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
241.0,2.0,4.0,False
,,,False
,,,False
,,,False
,,,False
,,,False
,,,False
471.0,5.0,8.0,False
395.0,5.7,8.0,False
,,,False
,,,False
,,,False
,,,False
335.0,3.0,6.0,False
,,,False
,,,False
,,,False
350.0,3.4,6.0,False
290.0,4.0,8.0,False
,,,False
,,,False
,,,False
255.0,2.0,4.0,False
469.0,4.0,8.0,False
,,,False
420.0,5.0,8.0,False
170.0,1.8,4.0,False
282.0,4.7,8.0,False
